created_at,arbitrage,ask_price,bid_price
2017-08-29 00:00:00,0.00378118316984,4379.99912281,4396.56070175
2017-08-29 00:05:00,0.00350232115677,4380.0,4395.34016667
2017-08-29 00:10:00,0.00355993150685,4380.0,4395.5925
2017-08-29 00:15:00,0.0034571627583,4380.0,4395.14237288
2017-08-29 00:20:00,0.00361225638872,4380.03983333,4395.86166667
2017-08-29 00:25:00,0.00331871719877,4380.61666667,4395.15466667
2017-08-29 00:30:00,0.0037393026366,4378.86152542,4395.23508475
2017-08-29 00:35:00,0.00381349167236,4378.29847458,4394.99508475
2017-08-29 00:40:00,0.003985802645,4378.08186441,4395.5320339
2017-08-29 00:45:00,0.00388670754513,4376.345,4393.35433333
2017-08-29 00:50:00,0.00465062689632,4375.79,4396.14016667
2017-08-29 00:55:00,0.00486277906389,4375.79,4397.0685
2017-08-29 01:00:00,0.00338003728089,4375.79,4390.58033333
2017-08-29 01:05:00,0.00361976542141,4375.79,4391.62933333
2017-08-29 01:10:00,0.00427263800746,4375.79,4394.48616667
2017-08-29 01:15:00,0.00478212922017,4375.79,4396.71559322
2017-08-29 01:20:00,0.00475406187408,4375.80216667,4396.605
2017-08-29 01:25:00,0.00452047312831,4375.98,4395.7615
2017-08-29 01:30:00,0.00404937865347,4375.98,4393.7
2017-08-29 01:35:00,0.00277238082251,4375.947,4388.079
2017-08-29 01:40:00,-0.00336322018324,4375.08275862,4360.36827586
2017-08-29 01:45:00,-0.00289077116147,4372.122,4359.48316667
2017-08-29 01:50:00,-0.00171416702781,4367.10333333,4359.6155
2017-08-29 01:55:00,-0.00149999241804,4365.78116667,4359.232
2017-08-29 02:00:00,-0.00229668750236,4369.8140678,4359.77762712
2017-08-29 02:05:00,-0.00202548160843,4371.97,4363.11465517
2017-08-29 02:10:00,-0.00194412739947,4371.97,4363.47033333
2017-08-29 02:15:00,-0.0017903574349,4370.15135593,4362.32728814
2017-08-29 02:20:00,-0.00181140483541,4367.712,4359.8
2017-08-29 02:25:00,-0.00110129101086,4363.96183333,4359.1545
2017-08-29 02:30:00,0.000188799261164,4360.01,4360.83316667
2017-08-29 02:35:00,-0.000673048334439,4362.25466667,4359.31833333
2017-08-29 02:40:00,-0.00119049311368,4364.76616667,4359.57
2017-08-29 02:45:00,-0.00182979189495,4367.51466667,4359.5225
2017-08-29 02:50:00,-0.00242111665245,4369.88,4359.3
2017-08-29 02:55:00,-0.00250885258743,4369.99233333,4359.02866667
2017-08-29 03:00:00,-0.00161655225019,4370.0,4362.93566667
2017-08-29 03:05:00,-0.00108311490387,4370.69466667,4365.96
2017-08-29 03:10:00,-0.00285810597085,4376.90733333,4364.39783333
2017-08-29 03:15:00,-0.00286293865143,4380.1715,4367.63116667
2017-08-29 03:20:00,-0.00415568625569,4388.52533333,4370.28766667
2017-08-29 03:25:00,-0.00374461190592,4389.55433333,4373.11716667
2017-08-29 03:30:00,-0.00279938775668,4389.94633333,4377.65716667
2017-08-29 03:35:00,-0.00264517843584,4390.0,4378.38766667
2017-08-29 03:40:00,-0.00188390280942,4390.0,4381.72966667
2017-08-29 03:45:00,-0.00193135914958,4390.0,4381.52133333
2017-08-29 03:50:00,-0.00221572087703,4389.99366667,4380.26666667
2017-08-29 03:55:00,-0.00244292830732,4388.7505,4378.02866667
2017-08-29 04:00:00,-0.00199715810825,4385.149,4376.39116667
2017-08-29 04:05:00,-0.00178484145569,4385.14,4377.31322034
2017-08-29 04:10:00,-0.00173417584366,4384.68216667,4377.07816667
2017-08-29 04:15:00,-0.00140763337646,4382.77,4376.60066667
2017-08-29 04:20:00,-0.00133055122674,4382.77,4376.9385
2017-08-29 04:25:00,-0.00110204277204,4382.77,4377.94
2017-08-29 04:30:00,-0.00143875639462,4383.86066667,4377.553
2017-08-29 04:35:00,-0.00171524024538,4385.1,4377.5785
2017-08-29 04:40:00,-0.000862466078311,4385.1,4381.318
2017-08-29 04:45:00,-0.00100526023732,4385.1,4380.69183333
2017-08-29 04:50:00,-0.000927496902389,4385.1,4381.03283333
2017-08-29 04:55:00,-0.000880861705929,4385.1,4381.23733333
2017-08-29 05:00:00,-0.00102692250912,4385.1,4380.59684211
2017-08-29 05:05:00,-0.000911495746961,4385.1,4381.103
2017-08-29 05:10:00,-0.000899734037722,4385.1,4381.15457627
2017-08-29 05:15:00,-0.000815640844375,4385.1,4381.52333333
2017-08-29 05:20:00,-0.00113171117344,4385.1,4380.13733333
2017-08-29 05:25:00,-0.00124497350878,4385.1,4379.64066667
2017-08-29 05:30:00,-0.000328144918333,4380.29949153,4378.85813559
2017-08-29 05:35:00,0.000510604110351,4375.16833333,4377.40216667
2017-08-29 05:40:00,-0.000545562894347,4375.74,4373.35275862
2017-08-29 05:45:00,-0.000331216705506,4374.3057377,4372.85672131
2017-08-29 05:50:00,-0.00040643415821,4371.16084746,4369.38423729
2017-08-29 05:55:00,-0.000994904180663,4370.04534483,4365.69758621
2017-08-29 06:00:00,-0.00128120254291,4370.01,4364.41113208
2017-08-29 06:05:00,-0.00142207912568,4370.01,4363.7955
2017-08-29 06:10:00,-0.0015751040247,4370.01,4363.12677966
2017-08-29 06:15:00,-0.00121948441084,4369.97534483,4364.6462069
